Codigo,DescriÃ§Ã£o,SP,Proxima Entrada em SP,VIX ES,Proxima Entrada em ES,Total,ForeCast Farma,Meses,Data_Referencia
0110-005,ESPUMA MENOPAUSA 150 ML,204,0,240,,444,140,"3,2",08/07/2026
0005-001,ABS. P/ SEIOS AMAMENTE C/ 12,16853,0,20760,,37613,12964,"2,9",
0070-003,CONCHA BASE FLEXIVEL - MACRO,676,0,2920,,3596,2358,"1,5",
0072-044,KY BLUEBARRY NATURAL 50G,4295,0,4389,,8684,2609,"3,3",
0072-039,K-Y HIDRATANTE BISN. 30 G,960,5458,9628,,16046,8851,"1,8",
0072-041,K-Y LIQUID 50G,6008,4032,10823,18000,38863,15514,"2,5",
0072-033,K-Y ULTRA SILICONE 50G,0,1000,0,2800,3800,11875,"0,3",
0072-029,K-Y ULTRAGEL HOT 50G ,3509,4032,16096,7000,30637,14909,"2,1",
0072-048,K-Y ULTRAGEL HOT SACHE 5G                         ,3999,0,5000,,8999,4970,"1,8",
0072-024,K-Y ORIGINAL BISNAGA DE 50 G,35195,0,91727,,126922,67438,"1,9",
0072-043,KY MORANGO NATURAL 50G,2508,0,5465,,7973,4286,"1,9",
0072-038,KY ORIGINAL SACHE 5 G,88400,40000,102500,,230900,150857,"1,5",
0005-019,K-Y NATURALS ESP. HIG. INT. TODO DIA 150ML,553,2004,1462,,4019,2407,"1,7",
0000-028,PRES. FEM. - DELLA UN. P/ CART.,2279,0,4200,,6479,4854,"1,3",
0005-021,K-Y NATURALS ESP. HIG. INT. HIPOALERGENICA 150ML,428,2004,2206,,4638,2288,"2,0",
0072-045,KY VANILLA NATURAL 50G,1706,0,7629,,9335,3452,"2,7",
0005-002,ABS. P/ SEIOS AMAMENTE C/ 30,124656,0,46044,,170700,41117,"4,2",
0072-055,K-Y LIQUID 120 G,3780,0,4674,,8454,2653,"3,2",
0005-020,K-Y NATURALS ESP. HIG. INT. MENOPAUSA 150ML,117,2004,2358,,4479,1908,"2,3",
0072-042,KY NATURAL  50G,1356,0,3282,,4638,1372,"3,4",
0070-013,AMAMENTE LANOLINA,1128,672,3439,5000,10239,3125,"3,3",
0005-016,K-Y CLINICAL LENÃ‡O ÃNTIMO C/ 16 UNIDADES,277,4800,12264,,17341,5364,"3,2",
0072-064,K-Y NATURALS 120G,4017,0,14481,,18498,3758,"4,9",
0072-025,K-Y ORIGINAL BISN. 100 G,113117,0,80570,,193687,42557,"4,6",
0072-026,K-Y ORIGINAL 48X3 SACHE DE 5 G,4688,5040,93456,,103184,19887,"5,2",
0070-005,CONCHA BASE RIGIDA - MACRO,1301,0,405,,1706,564,"3,0",
0070-010,PROTETOR DE MAMILO C/2,717,2160,9427,,12304,1937,"6,4",
0070-006,PROTETOR DE MAMILO ( INTERMEDIARIO ),15440,0,26262,,41702,6360,"6,6",
0005-014,TOAL. HIG. AMAMENTE BABY C/48,16005,0,12864,,28869,4000,"7,2",
0072-074,K-Y ORIGINAL BISN. 25G,6000,26000,8538,,40538,14985,"2,7",
0005-018,K-Y CLINICAL FEMININO 120ML,441,8100,19169,,27710,3567,"7,8",
0005-013,QUAD. ALG. AMAMENTE BABY C/100,14127,0,5508,,19635,2718,"7,2",
0005-009,ABS.P/SEIOS SUPER PREMIUM C/24,4880,0,64201,,69081,6725,"10,3",
0005-015,TOAL.HIGI. AMAMENTE BABY C/96,14345,0,24420,,38765,3136,"12,4",
0072-065,K-Y NATURALS MORANGO 120G,7505,0,4548,,12053,893,"13,5",
0110-007,ESPUMA TEEN 150 ML,360,0,720,,1080,38,"28,4",
0070-012,CHA DA MAMAE AMAM. CART. C/15,1365,0,26676,,28041,1451,"19,3",
0072-047,K-Y LIQUID SACHE 5G,65500,0,53500,,119000,5875,"20,3",
0110-004,ESPUMA CALM 150 ML,324,0,3152,,3476,136,"25,6",
0005-012,QUAD. ALG. AMAMENTE BABY C/50,42669,0,6703,,49372,1855,"26,6",
0005-017,K-Y CLINICAL PROCTO 120ML,14350,0,10959,,25309,959,"26,4",
0110-006,ESPUMA MESTRUACAO 150 ML,345,0,1548,,1893,46,"41,2",
0110-003,NUAÃ ESPUMA DE HIGIENE ÃNTIMA SUAVE - 150ML,804,0,4632,,5436,66,"82,4",
0110-001,NUAÃ ÃGUA ÃNTIMA PREBIÃ“TICA FRESH - 50ML,1044,0,4681,,5725,62,"92,3",
0072-037,GEL LUB. SEMINA - VP,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,
0072-076,K-Y NATURALS MORANGO SACHE 5G,6000,0,0,,6000,#N/A,#N/A,
0110-011,CREME ESFOLIANTE 100ML,24,0,186,,210,#N/A,#N/A,
